@dataValueAttribs				
precip	0	9999	mm	
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.01.1987 00:00			
dataEnd	31.12.1990 00:00	
tres	d			
@statAttribVal				
name	Station 4	Station 5	Station 6 	Station 7
ID	4	5	6	7
elevation	2956	1966	3264	1796
x	448716	467466	491716	475841
y	3041343	3039374	3038875	3025970
dataColumn	4	5	6	
@dataVal				
17.02.1988 00:00	100	71.92202723	100	63.08550476
18.02.1988 00:00	85.71824872	60.21160275	100	54.30793204
19.02.1988 00:00	100	85.16532489	100	74.99628498
20.02.1988 00:00	100	87.22992913	100	84.89082913
21.02.1988 00:00	100	84.79288452	100	81.09393289
22.02.1988 00:00	96.45391577	63.14608358	100	68.7641101
23.02.1988 00:00	97.60338798	64.89104321	99.6104806	65.92578025
24.02.1988 00:00	100	75.31951401	100	73.7171231
25.02.1988 00:00	100	78.04677925	100	78.89209534
26.02.1988 00:00	100	73.23855019	100	80.58503338
27.02.1988 00:00	100	88.03586124	100	69.00752698
28.02.1988 00:00	93.94359082	65.96771174	95.73046203	56.98245144
29.02.1988 00:00	100	65.58233932	100	71.45360415
01.03.1988 00:00	74.62285361	45.03465398	75.91442009	45.35594212
02.03.1988 00:00	85.77017733	52.52107236	91.57474411	49.58379437
03.03.1988 00:00	96.5574912	64.0514861	100	52.79742652
04.03.1988 00:00	100	84.7719003	100	84.73977127
05.03.1988 00:00	100	79.80531165	100	72.20483987
06.03.1988 00:00	92.98387854	71.04078346	100	63.53803569
07.03.1988 00:00	93.02535512	62.53511863	100	71.59273911
08.03.1988 00:00	100	86.12954496	100	76.00189451
09.03.1988 00:00	100	87.76368806	100	84.75241935
10.03.1988 00:00	100	90.15057184	100	73.66279918
11.03.1988 00:00	100	86.61891173	100	69.70688049
12.03.1988 00:00	100	81.72136264	100	86.39695495
13.03.1988 00:00	97.50121837	68.02765415	100	66.39575569
14.03.1988 00:00	99.28717175	65.3960307	100	64.9901383
15.03.1988 00:00	100	73.55550792	100	71.6452657
16.03.1988 00:00	100	74.65857115	100	64.04993046
17.03.1988 00:00	61.68804361	50.97611537	79.44001972	41.01208639
18.03.1988 00:00	89.82293126	58.00997266	96.57716987	56.79090768
19.03.1988 00:00	86.39588266	59.2076385	100	56.12269328
20.03.1988 00:00	100	83.01960062	100	74.06197828
21.03.1988 00:00	96.44513201	62.9529976	100	61.36179997
22.03.1988 00:00	87.3913055	65.84798722	98.17966682	66.79202672
23.03.1988 00:00	90.90438394	62.59638808	100	61.16290704
24.03.1988 00:00	83.45004934	61.24943249	100	62.74974463
25.03.1988 00:00	99.44274222	61.27143841	97.19200725	61.41784209
26.03.1988 00:00	88.62792486	60.3056233	95.06819798	51.98454898
27.03.1988 00:00	57.81197677	44.62079608	71.15171887	35.05135809
28.03.1988 00:00	63.00465751	47.14105682	82.29694295	43.06079164
